ID_Zaznamu_Psa,Datum_Vytvorenia_Profilu,Hmotnost_Kg,Datum_Narodenia,Pohlavi,ID_Kondicie,ID_Aktivity,Je_Stene_Boolean
4607,2018-01-04 17:18:03,,,,,,0
4608,2018-01-04 17:18:18,,,,,,0
4609,2018-01-04 17:18:51,35,2012-09-04 17:19:00,pes,18,,0
4610,2018-01-04 17:19:28,,,,,,0
4611,2018-01-04 17:21:42,45,2016-10-04 17:21:56,pes,,,1
4633,2018-01-04 17:35:05,,,,,,0
4638,2018-01-04 17:47:23,,2015-08-04 17:51:13,pes,,,0
4639,2018-01-04 17:57:42,,,,,,0
4667,2018-01-05 13:24:07,45,2015-08-05 13:24:20,pes,18,10,0
4673,2018-01-08 14:38:02,,,,,,0
4699,2018-01-08 15:08:39,,,,,,0
4715,2018-01-08 15:44:43,,,,,,0
4716,2018-01-08 15:54:56,,,,,,0
4717,2018-01-08 16:01:02,,,,,,0
4718,2018-01-08 16:12:21,,,,,,0
4719,2018-01-08 16:19:49,,,,,,0
4720,2018-01-08 16:52:02,,,,,,0
4806,2018-01-09 08:00:00,,,,,,0
4807,2018-01-09 08:47:08,,,,,,0
4854,2018-01-10 09:32:10,22,2015-08-10 09:32:29,pes,18,7,0
4926,2018-01-22 09:50:47,,2014-09-22 09:51:16,pes,,,0
4976,2018-01-25 13:29:58,13,2015-07-25 13:30:54,pes,22,7,0
4999,2018-01-30 11:08:45,2,2014-09-30 11:09:04,pes,19,10,0
5044,2018-02-05 08:06:26,10,2013-11-05 08:06:38,pes,19,,0
5045,2018-02-05 08:09:45,40,2009-10-05 08:10:11,pes,21,,0
5095,2018-02-16 11:20:24,11,2010-05-04 11:33:23,pes,21,7,0
5101,2018-02-20 15:09:26,22,2003-04-21 13:07:49,pes,18,7,0
5103,2018-02-20 15:11:45,15,2001-09-25 13:07:12,pes,18,7,0
5138,2018-02-21 15:36:29,22,2013-09-21 15:36:41,pes,19,8,0
5145,2018-02-22 09:34:59,36,2011-10-22 10:58:09,fena,20,8,0
5146,2018-02-22 09:35:17,,2013-12-22 11:10:39,pes,,,0
5149,2018-02-22 19:57:39,,,,,,0
5157,2018-02-23 15:52:26,45,2012-09-23 15:52:39,pes,18,7,0
5159,2018-02-23 18:11:01,22,2014-10-23 18:11:11,pes,18,7,0
5161,2018-02-24 10:46:57,,2014-10-24 10:47:25,pes,,,0
5162,2018-02-26 09:09:09,45,2014-12-26 09:09:26,pes,18,7,0
5164,2018-02-26 09:37:24,45,2017-02-26 09:37:44,pes,,,1
5166,2018-02-26 09:57:33,45,2017-02-26 10:00:31,pes,,,1
5168,2018-02-26 10:04:17,45,2015-12-26 10:04:38,pes,18,7,0
5170,2018-02-26 10:06:05,45,2015-12-26 10:07:19,pes,18,7,0
5172,2018-02-26 11:06:23,22,2013-08-26 11:06:44,pes,19,7,0
5174,2018-02-26 12:23:40,35,2020-01-08 11:27:44,pes,18,10,1
5214,2018-03-01 10:18:36,25,2013-10-01 10:19:22,pes,19,8,0
5221,2018-03-02 13:59:44,25,2014-11-02 14:02:55,pes,20,8,0
5231,2018-03-05 14:15:11,15,2014-11-05 14:24:34,pes,19,8,0
5247,2018-03-07 07:35:12,20,2012-11-07 10:56:04,pes,19,8,0
5254,2018-03-08 08:07:55,2.5,2011-01-08 08:08:20,pes,20,7,0
5259,2018-03-08 11:25:14,3,2013-10-08 11:48:45,pes,21,7,0
5265,2018-03-08 12:13:48,3,2014-10-08 12:14:32,pes,18,,0
5266,2018-03-08 12:15:32,45,2012-12-08 12:16:07,pes,20,9,0
5267,2018-03-08 13:17:58,,,,,,0
5274,2018-03-08 22:07:15,,,,,,0
5284,2018-03-14 09:12:48,2,2014-01-14 09:14:15,pes,20,7,0
5286,2018-03-14 10:58:34,,,,,,0
5293,2018-03-15 15:40:09,45,2015-07-15 15:40:50,pes,18,7,0
5302,2018-03-15 20:06:54,25,2014-12-15 10:56:40,pes,18,7,0
5304,2018-03-16 09:16:49,3,2011-11-16 09:17:24,pes,20,8,0
5306,2018-03-16 10:41:12,45,2015-12-16 10:41:31,pes,18,7,0
5308,2018-03-16 10:43:04,45,2016-02-16 10:43:22,pes,18,7,0
5324,2018-03-19 09:27:20,25,2013-12-19 13:23:58,pes,19,7,0
5329,2018-03-19 10:33:00,3,2017-12-19 10:34:00,pes,,,1
5334,2018-03-19 11:19:11,3,2015-11-19 11:19:20,pes,19,9,0
5343,2018-03-20 20:07:18,20,2017-03-20 08:55:42,pes,19,8,0
5347,2018-03-21 09:20:28,45,2013-12-21 09:21:51,pes,18,7,0
5348,2018-03-21 09:24:48,3,2014-12-21 09:25:34,pes,19,8,0
5351,2018-03-21 10:03:08,20,2007-02-21 10:18:20,pes,19,8,0
5355,2018-03-23 18:57:41,35,2013-12-23 18:57:54,pes,18,7,0
5357,2018-03-23 19:21:39,45,2004-12-23 19:21:51,pes,18,7,0
5359,2018-03-23 19:39:24,35,2013-11-23 19:39:36,pes,18,7,0
5361,2018-03-25 10:28:18,,,,,,0
5365,2018-03-27 09:17:40,3,2002-11-27 09:36:15,pes,18,7,0
5367,2018-03-27 09:29:18,3,2014-01-27 09:30:38,pes,22,10,0
5369,2018-03-27 10:01:30,,,,,,0
5370,2018-03-28 11:02:05,12,2010-08-28 11:03:51,fena,20,9,0
5378,2018-03-28 11:07:36,,,,,,0
5396,2018-03-29 10:05:54,,,,,,0
5397,2018-03-29 10:10:12,45,2015-10-29 10:10:24,pes,18,7,0
5399,2018-03-29 10:41:24,,,,,,0
5400,2018-03-29 10:45:24,,,,,,0
5401,2018-03-29 10:46:54,,,,,,0
5402,2018-03-29 10:48:20,,,,,,0
5403,2018-03-29 10:50:08,,,,,,0
5404,2018-03-29 10:51:37,,,,,,0
5412,2018-03-29 11:05:57,,,,,,0
5413,2018-03-29 11:19:39,,,,,,0
5415,2018-03-29 11:26:15,,,,,,0
5429,2018-03-29 16:49:43,5,2015-03-01 16:50:10,pes,19,8,0
5437,2018-04-03 08:46:57,,,,,,0
5455,2018-04-04 17:25:28,,,,,,0
5456,2018-04-04 17:48:51,,,,,,0
5457,2018-04-04 17:49:48,,,,,,0
5458,2018-04-04 17:51:59,,,,,,0
5459,2018-04-04 18:21:40,,,,,,0
5460,2018-04-04 18:22:22,,,,,,0
5461,2018-04-04 19:31:25,,,,,,0
5462,2018-04-05 09:44:33,,,,,,0
5463,2018-04-05 11:49:44,23,2007-12-05 11:50:12,pes,18,7,0
5476,2018-04-16 09:27:30,,,,,,0
5477,2018-04-16 09:28:41,,,,,,0
5484,2018-04-25 13:15:43,,,,,,0
5491,2018-04-26 10:11:18,15,2015-11-26 09:51:14,fena,22,10,0
5492,2018-04-27 09:23:01,,,,,,0
5493,2018-04-27 09:41:20,5,2016-01-27 09:41:36,pes,18,7,0
5503,2018-04-27 12:28:47,,,,,,0
5504,2018-04-30 00:20:37,30,2015-10-30 00:20:56,pes,20,9,0
5506,2018-04-30 09:26:49,,,,,,0
5507,2018-05-02 10:33:30,2,2017-02-02 13:43:19,fena,19,8,0
5509,2018-05-02 14:55:08,4,2014-12-02 15:55:47,pes,18,7,0
5511,2018-05-03 09:57:34,5,2016-08-03 12:34:05,fena,21,9,0
5513,2018-05-03 12:32:03,,,,,,0
5520,2018-05-03 12:41:33,25,2014-01-03 12:41:53,pes,19,9,0
5522,2018-05-03 12:46:02,25,2015-02-03 13:20:23,pes,19,8,0
5524,2018-05-03 12:49:03,15,2017-02-03 12:49:13,pes,19,8,0
5527,2018-05-03 13:14:56,25,2016-01-03 13:15:07,pes,19,8,0
5531,2018-05-11 10:25:43,15,2015-01-11 10:37:55,fena,18,8,0
5533,2018-05-11 11:30:41,12,2015-12-11 11:30:58,pes,18,7,0
5535,2018-05-11 11:33:45,15,2017-03-11 11:33:57,pes,18,7,0
5538,2018-05-11 13:06:51,15,2017-04-11 13:07:04,pes,18,7,0
5540,2018-05-12 12:24:15,,,,,,0
5549,2018-05-14 09:20:48,,,,,,0
5555,2018-05-14 11:26:56,,,,,,0
5557,2018-05-14 11:31:11,,,,,,0
5558,2018-05-15 10:09:52,,,,,,0
5559,2018-05-15 12:27:33,25,2014-03-15 12:27:46,pes,18,7,0
5561,2018-05-15 12:37:54,,,,,,0
5565,2018-05-17 09:27:03,3,2016-05-17 09:27:17,pes,19,8,0
5569,2018-05-18 12:06:19,25,2008-02-18 12:06:32,pes,18,7,0
5571,2018-05-21 10:21:29,10,2015-03-21 10:24:36,pes,20,9,0
5583,2018-05-24 13:27:16,10,2011-02-24 13:32:05,pes,19,8,0
5585,2018-05-24 13:30:56,,,,,,0
5587,2018-05-30 09:27:09,,,,,,0
5589,2018-05-31 13:50:14,5,2014-12-31 14:07:17,pes,18,7,0
5594,2018-06-01 10:04:40,,,,,,0
5595,2018-06-01 15:26:04,,,,,,0
5596,2018-06-01 16:24:27,,,,,,0
5597,2018-06-04 11:31:38,,,,,,0
5602,2018-06-04 11:37:39,,,,,,0
5603,2018-06-04 11:38:33,,,,,,0
5616,2018-06-12 09:21:10,,,,,,0
5656,2018-08-28 08:15:34,,,,,,0
5657,2018-09-22 23:45:53,45,2016-06-22 23:47:11,pes,20,10,0
5666,2019-06-16 16:36:33,,,,,,0
5667,2019-06-25 11:17:33,12,2008-06-25 11:24:05,pes,20,8,0
5669,2019-06-25 11:39:09,32,2015-05-25 11:39:41,pes,20,8,0
5675,2019-07-17 10:15:32,14.5,2017-08-16 10:16:21,fena,20,9,0
5677,2019-07-23 09:20:22,,,,,,0
5678,2019-07-24 12:57:27,,,,,,0
5679,2019-07-24 13:35:19,,,,,,0
5681,2019-07-24 19:12:31,,,,,,0
5682,2019-07-25 08:35:13,9,2016-03-25 14:40:24,pes,20,8,0
5696,2019-07-25 14:07:55,15,2017-08-16 14:08:33,fena,20,9,0
5698,2019-07-26 08:17:30,30,2007-07-26 08:18:19,pes,21,9,0
5751,2019-07-31 15:56:49,,,,,,0
5798,2019-08-02 09:26:31,29,2014-06-02 16:43:20,pes,20,8,0
5828,2019-08-07 10:13:31,,,,,,0
5831,2019-08-07 10:43:45,,,,,,0
5832,2019-08-07 10:56:29,25,2017-03-04 12:59:35,fena,20,9,0
5833,2019-08-07 11:11:49,,,,,,0
5836,2019-08-07 17:45:16,,,,,,0
5837,2019-08-08 08:18:26,,,,,,0
5838,2019-08-08 08:28:14,,,,,,0
5839,2019-08-09 11:26:43,15,2017-08-20 11:27:20,fena,20,9,0
5847,2019-08-12 11:13:04,15,2014-03-12 11:13:17,fena,20,9,0
5849,2019-08-12 12:08:56,,,,,,0
5850,2019-08-12 12:11:22,22,2013-05-09 14:22:49,pes,19,9,0
5851,2019-08-12 12:16:35,,,,,,0
5852,2019-08-12 13:30:16,,,,,,0
5956,2019-08-14 14:02:05,16,2017-06-14 14:02:29,fena,19,10,0
5985,2019-08-18 10:39:14,11,2017-06-18 10:39:47,fena,20,8,0
5987,2019-08-18 10:48:41,38,2014-08-18 10:49:59,pes,21,7,0
5989,2019-08-18 19:23:54,2,2019-05-18 19:35:13,pes,19,8,1
5995,2019-08-22 08:57:19,8,2016-05-22 08:57:24,pes,19,8,0
5997,2019-08-22 10:20:37,22,2005-03-16 08:09:54,fena,20,9,0
6003,2019-08-23 09:34:57,5,2017-03-23 09:35:05,pes,19,8,0
6005,2019-08-23 14:17:19,,,,,,0
6006,2019-08-27 08:20:27,20,2006-04-12 08:20:42,fena,20,9,0
6109,2019-09-05 08:13:45,5,2018-03-05 08:13:52,pes,19,8,0
6113,2019-09-05 09:18:38,15,2014-06-05 09:18:44,pes,19,8,0
6115,2019-09-05 09:31:07,20,2015-05-05 09:31:14,pes,19,8,0
6175,2019-09-11 11:30:45,14,2017-08-20 11:31:05,fena,20,9,0
6232,2019-09-18 11:54:55,80,2014-07-18 11:55:06,fena,20,9,0
6328,2019-09-20 16:30:08,,,,,,0
6333,2019-09-23 11:47:23,,,,,,0
6334,2019-09-30 09:17:39,20,2019-05-30 10:13:18,pes,19,8,1
6336,2019-09-30 13:37:08,20,2015-04-30 13:37:16,pes,19,8,0
6354,2019-09-30 19:14:30,10,2014-03-30 19:31:21,fena,19,8,0
6435,2019-10-11 09:55:00,50,2014-04-11 09:56:01,fena,20,9,0
6441,2019-10-11 13:59:51,,,,,,0
6442,2019-10-11 14:02:16,,,,,,0
6443,2019-10-11 14:05:14,,,,,,0
6444,2019-10-11 15:26:37,25,2018-02-11 15:35:07,pes,19,9,0
6446,2019-10-13 19:52:29,20,2017-07-13 19:52:36,pes,19,8,0
6478,2019-10-17 12:05:39,5,2018-07-17 13:23:02,pes,,,1
6479,2019-10-17 13:25:15,14,2017-08-17 16:25:44,fena,20,9,0
6481,2019-10-22 09:17:16,,,,,,0
6482,2019-10-22 09:24:10,,,,,,0
6522,2019-10-27 11:12:07,40,2014-09-27 15:08:24,pes,20,8,0
6527,2019-10-30 10:41:41,30,2017-07-30 10:41:49,fena,19,8,0
6568,2019-11-01 09:02:14,20,2018-02-01 09:02:29,pes,19,8,0
6575,2019-11-01 21:23:25,20,2014-10-25 21:23:58,pes,20,8,0
6582,2019-11-04 12:24:00,,,,,,0
6583,2019-11-04 12:56:55,,,,,,0
6603,2019-11-05 11:39:53,5,2007-08-11 12:41:41,pes,19,8,0
6611,2019-11-06 09:11:58,5,2012-06-06 10:18:41,pes,19,8,0
6614,2019-11-08 09:23:42,15,2016-08-08 09:30:34,fena,19,9,0
6642,2019-11-11 09:58:26,20,2015-09-11 09:58:46,pes,19,8,0
6655,2019-11-12 10:51:49,,,,,,0
6660,2019-11-13 09:05:02,10,2013-04-13 09:05:37,pes,20,9,0
6676,2019-11-14 09:11:48,20,2015-07-14 09:12:03,pes,20,9,0
6753,2019-11-17 11:57:53,50,2018-09-17 11:57:58,pes,,,1
6755,2019-11-20 09:28:49,,,,,,0
6759,2019-11-21 09:49:56,10,2017-05-21 09:51:28,pes,20,7,0
6834,2019-11-27 08:37:58,10,2014-08-27 08:38:10,pes,20,8,0
6856,2019-11-28 10:49:18,120,1991-10-06 10:53:25,pes,21,9,0
6864,2019-11-29 11:37:52,55,2018-09-29 11:46:21,pes,22,9,0
6866,2019-11-29 11:43:29,55,2015-07-29 11:43:37,fena,20,8,0
6870,2019-11-29 13:09:20,20,2017-09-29 13:09:38,pes,20,9,0
6874,2019-11-29 13:40:47,20,2017-09-29 13:40:59,pes,20,9,0
6879,2019-11-29 15:53:01,,,,,,0
6884,2019-12-02 11:01:05,15,2018-05-02 11:01:39,pes,20,8,0
6886,2019-12-02 12:22:01,5,2018-04-02 12:22:17,pes,19,8,0
6888,2019-12-05 10:46:54,20,2018-10-05 10:51:58,fena,20,9,0
6894,2019-12-09 09:05:24,10,2015-07-09 09:05:52,fena,19,8,0
6897,2019-12-13 08:52:03,5,2016-09-13 08:53:01,pes,20,9,0
6899,2019-12-16 07:42:45,20,2018-04-16 07:42:51,fena,19,8,0
6904,2019-12-19 12:50:51,15,2016-08-19 12:51:05,pes,20,9,0
6907,2019-12-19 14:00:06,31,2013-10-19 14:00:19,pes,20,9,0
6909,2019-12-28 09:59:09,20,2017-07-28 10:00:04,fena,19,8,0
6918,2020-01-06 09:04:03,,,,,,0
6919,2020-01-06 09:21:43,15,2016-11-06 15:39:31,pes,20,8,0
6934,2020-01-07 16:00:14,15,2014-07-07 16:00:37,fena,19,9,0
6937,2020-01-07 16:01:09,15,2016-10-07 16:01:20,pes,19,8,0
6946,2020-01-08 08:04:33,,2018-12-08 08:07:05,pes,,,1
6947,2020-01-08 08:05:07,,,,,,0
6974,2020-01-09 13:57:46,,,,,,0
6981,2020-01-10 08:56:09,25,2017-01-10 08:56:28,pes,20,8,0
6986,2020-01-10 09:38:17,,2018-01-10 09:39:55,pes,,,0
6987,2020-01-10 09:41:51,30,2017-01-10 09:42:08,pes,20,8,0
6995,2020-01-10 10:35:07,10,2014-12-10 10:45:54,pes,20,8,0
6999,2020-01-13 08:16:28,10,1995-01-13 08:17:49,pes,20,10,0
7011,2020-01-13 10:46:25,25,2015-10-13 10:46:38,pes,19,9,0
7017,2020-01-13 10:49:15,10,1995-01-13 10:49:33,pes,20,7,0
7023,2020-01-13 11:15:50,29,2017-07-29 23:03:32,pes,20,9,0
7028,2020-01-13 11:56:27,22,2014-08-13 11:56:39,fena,20,9,0
7030,2020-01-13 15:19:02,35,2014-09-13 15:19:13,pes,20,8,0
7032,2020-01-14 10:06:34,,,,,,0
7033,2020-01-14 10:08:26,10,2005-12-14 10:29:10,pes,20,7,0
7035,2020-01-14 11:39:51,,,,,,0
7036,2020-01-14 11:45:31,,,,,,0
7037,2020-01-14 13:35:51,25,2011-07-14 15:02:36,fena,19,8,0
7038,2020-01-14 13:44:48,,,,,,0
7039,2020-01-14 13:45:37,,,,,,0
7040,2020-01-14 13:58:26,,,,,,0
7041,2020-01-14 14:02:56,,,,,,0
7042,2020-01-14 14:12:58,,,,,,0
7043,2020-01-14 14:13:24,,,,,,0
7044,2020-01-14 14:13:30,,,,,,0
7045,2020-01-14 14:18:32,,,,,,0
7046,2020-01-14 14:19:07,,,,,,0
7047,2020-01-14 14:20:15,,,,,,0
7048,2020-01-14 14:22:04,,,,,,0
7049,2020-01-14 14:23:04,,,,,,0
7050,2020-01-14 14:27:11,,,,,,0
7051,2020-01-14 14:32:05,,,,,,0
7061,2020-01-14 16:50:31,25,2014-09-14 16:50:56,pes,18,7,0
7103,2020-01-15 15:01:49,22,2016-11-15 15:02:01,pes,20,9,0
7107,2020-01-15 17:20:08,10,2017-01-15 17:20:21,pes,20,8,0
7117,2020-01-16 13:22:58,,2011-07-20 13:23:29,pes,,,0
7121,2020-01-16 13:56:24,22,2019-07-16 13:56:43,fena,,,1
7136,2020-01-16 16:10:38,22,2013-01-20 09:22:10,pes,20,8,0
7137,2020-01-17 08:31:36,20,2016-10-17 08:32:13,pes,19,8,0
7139,2020-01-17 15:14:04,15,2016-07-17 15:14:28,pes,19,8,0
7141,2020-01-17 15:16:58,12,2014-07-17 15:17:10,pes,19,8,0
7143,2020-01-17 15:27:22,,,,,,0
7168,2020-01-21 12:11:25,35,2017-11-21 12:12:02,pes,20,8,0
7172,2020-01-21 12:26:23,20,2015-11-21 12:39:04,pes,20,8,0
7176,2020-01-22 09:04:01,5,2019-11-23 10:56:43,pes,19,8,1
7205,2020-01-22 12:17:30,44,2007-09-22 12:17:59,pes,18,7,0
7208,2020-01-22 14:54:58,5,2017-08-22 14:55:15,pes,19,8,0
7210,2020-01-22 14:57:51,5,2016-09-22 14:58:04,pes,20,9,0
7217,2020-01-23 11:25:51,5,2019-01-23 11:26:06,pes,19,,0
7218,2020-01-23 11:27:07,5,2019-11-23 11:27:22,pes,,,1
7235,2020-01-23 19:59:26,7,2018-04-24 11:35:35,fena,21,7,0
7244,2020-01-26 18:48:09,60,2013-01-26 19:02:04,pes,21,8,0
7250,2020-01-26 23:05:05,,,,,,0
7257,2020-01-27 08:00:45,26,2015-05-16 09:28:42,fena,20,8,0
7275,2020-01-27 11:44:58,2,2016-01-29 12:54:46,pes,20,8,0
7276,2020-01-27 14:30:21,,,,,,0
7277,2020-01-27 16:14:10,15,2016-11-28 13:41:31,pes,19,8,0
7278,2020-01-27 16:38:44,20,2016-11-27 16:38:53,pes,20,8,0
7342,2020-01-29 12:48:59,,,,,,0
7345,2020-01-29 13:56:30,25,2015-10-29 13:56:39,pes,19,9,0
7347,2020-01-29 15:04:38,25,2017-10-29 15:04:47,pes,19,9,0
7350,2020-01-30 10:15:28,25,2019-10-30 10:15:44,pes,,,1
7394,2020-02-03 15:42:40,10,2017-08-03 15:42:51,pes,20,9,0
7398,2020-02-03 17:13:43,37,2015-10-03 17:14:22,pes,20,8,0
7416,2020-02-06 11:04:22,48,2011-09-03 11:17:28,pes,21,8,0
7420,2020-02-06 11:58:16,3,2009-08-01 14:12:41,fena,20,7,0
7426,2020-02-06 13:38:11,45,2012-11-01 14:13:11,pes,21,8,0
7433,2020-02-06 14:46:38,20,2018-09-06 14:48:03,pes,,,1
7435,2020-02-06 14:48:37,42,2009-12-06 14:49:00,pes,21,8,0
7439,2020-02-06 14:52:06,70,2016-10-06 10:27:08,pes,20,10,0
7443,2020-02-06 14:57:46,28,2012-08-06 14:58:18,fena,18,9,0
7446,2020-02-06 15:01:16,2.2,2018-11-06 15:01:38,fena,20,8,0
7449,2020-02-06 15:21:53,4,2018-01-06 11:24:44,fena,20,8,0
7452,2020-02-07 08:15:27,18,2007-08-07 08:16:12,pes,21,8,0
7456,2020-02-07 10:03:36,5,2010-06-06 10:04:40,pes,20,8,0
7468,2020-02-07 12:24:01,5,2019-07-07 12:39:16,fena,,,1
7476,2020-02-07 14:20:44,30,2015-10-22 14:50:46,pes,19,10,0
7518,2020-02-10 22:21:44,16.5,2017-05-02 22:26:08,fena,20,9,0
7522,2020-02-11 08:34:50,47,2015-07-15 08:35:37,pes,20,8,0
7566,2020-02-17 09:24:01,20,2013-10-17 15:17:04,fena,19,8,0
7607,2020-02-17 17:31:21,25,2008-05-11 19:30:05,fena,20,8,0
7664,2020-02-18 22:31:52,,,,,,0
7665,2020-02-18 22:32:53,35,2017-05-02 22:33:45,pes,20,10,0
7667,2020-02-18 22:40:04,7,2019-03-16 22:42:46,fena,20,8,0
7668,2020-02-18 22:41:42,29,2014-05-30 22:42:54,fena,21,7,0
7673,2020-02-18 22:48:55,28,2008-04-18 22:53:18,pes,19,7,0
7675,2020-02-18 23:06:16,35,2010-09-18 23:07:33,pes,19,8,0
7677,2020-02-18 23:15:22,13,2006-02-18 23:16:49,pes,20,8,0
7679,2020-02-19 08:05:29,6,2017-08-07 08:06:45,pes,20,8,0
7681,2020-02-19 08:50:17,,,,,,0
7682,2020-02-19 09:13:44,36,2019-03-05 09:14:39,pes,,,1
7683,2020-02-19 09:14:14,38.7,2018-10-30 09:16:17,pes,,,1
7686,2020-02-19 10:30:03,26,2015-06-25 10:30:35,fena,20,9,0
7688,2020-02-19 12:06:40,21,2015-09-01 12:07:30,fena,20,7,0
7690,2020-02-19 13:13:40,10,2013-10-19 13:14:41,pes,19,8,0
7692,2020-02-19 13:26:14,13,2018-05-25 13:27:35,fena,20,8,0
7693,2020-02-19 13:28:11,4.5,2019-04-01 13:32:04,pes,20,8,0
7696,2020-02-19 14:43:54,12,2019-10-19 14:44:22,pes,,,1
7698,2020-02-19 15:11:46,35,2007-10-31 15:12:32,fena,20,7,0
7699,2020-02-19 15:13:59,23,2019-07-19 15:15:04,pes,,,1
7701,2020-02-19 15:14:14,2.0,2013-01-11 15:16:35,fena,18,7,0
7706,2020-02-19 18:18:12,4,2015-10-18 18:20:58,fena,20,8,0
7708,2020-02-19 18:23:43,30,2007-06-20 18:25:19,fena,21,8,0
7712,2020-02-19 18:28:02,10,2017-02-19 18:28:33,fena,20,7,0
7714,2020-02-19 19:47:54,45,2017-10-24 19:48:55,pes,20,9,0
7716,2020-02-19 20:04:38,20,2017-07-11 20:20:27,fena,20,8,0
7717,2020-02-19 20:14:31,,,,,,0
7718,2020-02-19 20:21:34,10,2015-12-07 20:22:49,fena,20,7,0
7723,2020-02-19 20:38:36,,,,,,0
7724,2020-02-19 20:48:06,18,2019-09-07 20:49:30,pes,,,1
7726,2020-02-19 21:39:36,,,,,,0
7727,2020-02-19 21:52:39,8,2019-11-19 21:53:21,pes,,,1
7729,2020-02-19 22:01:26,35,2015-10-19 22:02:07,fena,20,8,0
7731,2020-02-19 22:17:44,35,2011-12-12 22:18:28,fena,20,8,0
7733,2020-02-19 22:22:06,30,2015-08-22 22:24:06,fena,20,9,0
7734,2020-02-19 22:24:02,19,2019-02-15 22:24:57,pes,,,1
7737,2020-02-19 22:32:55,16,2009-04-24 22:33:47,fena,20,7,0
7739,2020-02-19 22:39:00,24,2017-06-19 22:40:21,fena,20,8,0
7740,2020-02-19 22:39:56,1.3,2019-10-15 22:41:00,fena,,,1
7743,2020-02-19 22:42:16,26,2007-07-19 22:43:03,fena,22,7,0
7747,2020-02-19 22:50:14,2.25,2018-06-18 22:52:13,fena,20,8,0
7751,2020-02-19 22:59:27,7,2011-05-19 23:01:31,pes,20,8,0
